tweets,attitude,clean_tweets,final_tweets,label
"RT @jerrytraphouse4: @58PROCENT @xSkulblaka @FelineFiendz @_bolivian Im a sol maxi too my guy, this is my eth account. Welcome to the fiend…",pos," @58POCENT @xSkulblaka @FelineFiendz @_bolivian Im a sol maxi too my guy, this is my eth account. Welcome to the fiend…",POCENT xSkulblaka FelineFiendz bolivian Im sol maxi guy eth account Welcome fiend,0
RT @scalper432: Closed all shorts #btc $btc #NFTCommunity #Bitcoin,neg, Closed all shorts #btc $btc #NFTCommunity #Bitcoin,Closed short btc,1
@Humble1_eth @Crypt_O_Manimal @Mandalamintnft @supersexynft Nice purchases🥳🎉,pos,@Humble1_eth @Crypt_O_Manimal @Mandalamintnft @supersexynft Nice purchases🥳🎉,Humbleeth CryptOManimal Mandalamintnft supersexynft Nice purchase,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"RT @Tepitoons: #BabyDogeGiveaway 
50 Random Winner for 500 Million Babydoge Coin.
1. ✅Follow
2. ✅Retweet
3. ✅Comment

Hurry Guys!!! Feel Li…",neg," #BabyDogeGiveaway 
50andom Winner for 500 Million Babydoge Coin.
1. ✅Follow
2. ✅etweet
3. ✅Comment

Hurry Guys!!! Feel Li…",andom Winner Million Babydoge Coin Follow etweet CommentHurry Guys Feel Li,1
"I am claiming my free Lightning sats from @_bitcoiner's zesty faucet! ⚡

@boltcoiner unlock me fce7cb85-507a-4f54-9… https://t.co/ZiWQoR8s40",pos,"I am claiming my free Lightning sats from @_bitcoiner's zesty faucet! ⚡

@boltcoiner unlock me fce7cb85-507a-4f54-9… https://t.co/ZiWQo8s40",I claiming free Lightning sat bitcoiners zesty faucet boltcoiner unlock fcecbaf,0
"#ADSCOIN is the Future of #Crypto World. Coming Soon, With 5M+ DEDICATED TEAM, 9 DIGITALPLATFORMS, As Per GOVT. GUI… https://t.co/fyaLTKBCvN",pos,"#ADSCOIN is the Future of #Crypto World. Coming Soon, With 5M+ DEDICATED TEAM, 9 DIGITALPLATFOMS, As Per GOVT. GUI… https://t.co/fyaLTKBCvN",Future WorldComing SoonWith M DEDICATED TEAM DIGITALPLATFOMS As Per GOVT GUI,0
"RT @RailbreakersNFT: 💥 #NFTGiveaway 💥

🎁 @LongLostNFT

To Enter👇

🌀Follow @RailbreakersNFT &amp; @HulkHusky
🌀Like &amp; RT
🌀Tag some friends

⏰ Win…",pos," 💥 #NFTGiveaway 💥

🎁 @LongLostNFT

To Enter👇

🌀Follow @ailbreakersNFT &amp; @HulkHusky
🌀Like &amp; 
🌀Tag some friends

⏰ Win…",LongLostNFTTo EnterFollow ailbreakersNFT amp HulkHuskyLike amp Tag friend Win,0
"RT @DylanGillArt: Jesters Affinity
Has Sold to:
@JakeNordstrum @jasonlchambers @mobopk @PanopticThought “OliversOlives” @chazz_gold &amp; @sean…",pos," Jesters Affinity
Has Sold to:
@JakeNordstrum @jasonlchambers @mobopk @PanopticThought “OliversOlives” @chazz_gold &amp; @sean…",Jesters AffinityHas Sold toJakeNordstrum jasonlchambers mobopk PanopticThought OliversOlives chazzgold amp sean,0
"RT @CryptoAgresivoo: 👽 AFIRIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️ RT +  Follow @Afirixcommunity &amp; @CryptoB…",pos," 👽 AFIIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️  +  Follow @Afirixcommunity &amp; @CryptoB…",AFIIX GIVEAWAYS We givingaway worth USDT To Enter Follow Afirixcommunity amp CryptoB,0
"RT @ShibInform: This is my gift to you that support me everyday $SHIB , a big thank you 🏆 1 ETH among the first 2222 Retweets and Comments!…",pos," This is my gift to you that support me everyday $SHIB , a big thank you 🏆 1 ETH among the first 2222etweets and Comments!…",This gift support everyday SHIB big thank ETH among first etweets Comments,0
"RT @weiler_eth: $10,000 in $ETH 🎁

✅RT &amp; follow ""done""
                            ( 10 winners!🏆)",pos," $10,000 in $ETH 🎁

✅ &amp; follow ""done""
                            ( 10 winners!🏆)",ETH amp follow done winner,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
@dosetedequera @kendallkutie360 @StrxngersNFT @chenboos5 @opensea never mind just try and make some eth,pos,@dosetedequera @kendallkutie360 @StrxngersNFT @chenboos5 @opensea never mind just try and make some eth,dosetedequera kendallkutie StrxngersNFT chenboos opensea never mind try make eth,0
"RT @AlphaBlocksNFT: Coco Taqqi🤝🏻 AlphaBlocks 

•🎟️8x FREE Mints for Coco Taqqi
•🎟️2x FREE Mints for AlphaBlocks

To Enter: 
1⃣ Follow 
@Tmn…",pos," Coco Taqqi🤝🏻 AlphaBlocks 

•🎟️8x FEE Mints for Coco Taqqi
•🎟️2x FEE Mints for AlphaBlocks

To Enter: 
1⃣ Follow 
@Tmn…",Coco Taqqi AlphaBlocks x FEE Mints Coco Taqqix FEE Mints AlphaBlocksTo Enter Follow Tmn,0
RT @majablanque: can’t wait to see the rest ♡ #JIMIN https://t.co/IRPQde0YyS,pos, can’t wait to see the rest ♡ #JIMIN https://t.co/IPQde0YyS,cant wait see rest,0
wl Notice Minting @HassanZrd1 @destination_ho @Johntheman06 @ritter_eth @lucasnft243 @ZhangBoyu4 @MimboBluee… https://t.co/f7Jsm0J5Jl,pos,wl Notice Minting @HassanZrd1 @destination_ho @Johntheman06 @ritter_eth @lucasnft243 @ZhangBoyu4 @MimboBluee… https://t.co/f7Jsm0J5Jl,wl Notice Minting HassanZrd destinationho Johntheman rittereth lucasnft ZhangBoyu MimboBluee,0
@KleitoNft I really like this kind of art 🔥 it's simply great. Let’s hope they will handle the project precisely without the classic errors.,pos,@KleitoNft I really like this kind of art 🔥 it's simply great. Let’s hope they will handle the project precisely without the classic errors.,KleitoNft I really like kind art simply great Lets hope handle project precisely without classic error,0
"RT @BubblePeePeeNFT: 🦊 BubblePeePee X LazyFoxesNFT🦊

First 25 to drop eth address + 5 🏆 x WL for BubblePeePee
5 🏆 x WL for LazyFoxesNFT

To…",pos," 🦊 BubblePeePee X LazyFoxesNFT🦊

First 25 to drop eth address + 5 🏆 x WL for BubblePeePee
5 🏆 x WL for LazyFoxesNFT

To…",BubblePeePee X LazyFoxesNFTFirst drop eth address x WL BubblePeePee x WL LazyFoxesNFTTo,0
"RT @CryptoKoalaBtc: Communities that never stop shilling

$HARU
$CRAMER 
#WarPigsToken #WPT
#Suzume 
#VeganRobsToken
#VOLTINU 
#kibainu 
#p…",pos," Communities that never stop shilling

$HAU
$CAME 
#WarPigsToken #WPT
#Suzume 
#VeganobsToken
#VOLTINU 
#kibainu 
#p…",Communities never stop shillingHAUCAME,0
"RT @NuclearCowboy0: A blend of poetry, photography and the need to fight on.

Starting at .1 ETH.

Utility? 
I join metaverse galleries suc…",pos," A blend of poetry, photography and the need to fight on.

Starting at .1 ETH.

Utility? 
I join metaverse galleries suc…",A blend poetry photography need fight onStarting ETHUtility I join metaverse gallery suc,0
"RT @characters_nfts: FREE MINT

Sept 27 - 7 PM EST

First 888 RT + Drop eth address = Free mint list

#NFTs #NFTartists  #NFTCommunity #NFT…",pos," FEE MINT

Sept 27 - 7 PM EST

First 888  + Drop eth address = Free mint list

#NFTs #NFTartists  #NFTCommunity #NFT…",FEE MINTSept PM ESTFirst Drop eth address Free mint,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"RT @Engineercryptoo: You will get next 100x Gem during this period(Patience will be rewarded trust what i say) 
For a larger TF i expect
bt…",pos," You will get next 100x Gem during this period(Patience will be rewarded trust what i say) 
For a larger TF i expect
bt…",You get next x Gem periodPatience rewarded trust say For larger TF expectbt,0
"Price analysis 9/23: SPX, DXY, BTC, ETH, BNB, XRP, ADA, SOL, DOGE, DOT https://t.co/gd3NJwVSlL #bizassetinsights… https://t.co/vieQ5k3cl6",pos,"Price analysis 9/23: SPX, DXY, BTC, ETH, BNB, XP, ADA, SOL, DOGE, DOT https://t.co/gd3NJwVSlL #bizassetinsights… https://t.co/vieQ5k3cl6",Price analysis SPX DXY BTC ETH BNB XP ADA SOL DOGE DOT,0
@BlueTigerNFT @0xCharlotte @babyeggroll_eth You two are perfect 🥹,pos,@BlueTigerNFT @0xCharlotte @babyeggroll_eth You two are perfect 🥹,BlueTigerNFT xCharlotte babyeggrolleth You two perfect,0
RT @parkjiminpics: tailor of chaos park jimin https://t.co/Ki9LiWqCkA,pos, tailor of chaos park jimin https://t.co/Ki9LiWqCkA,tailor chaos park jimin,0
"RT @Factory_Dao: 🔥Founders Factory is growing!🔥

Omega Alpha is joining our network, and we're celebrating with a Mega Giveaway!

🎁1x Winne…",pos," 🔥Founders Factory is growing!🔥

Omega Alpha is joining our network, and we're celebrating with a Mega Giveaway!

🎁1x Winne…",Founders Factory growingOmega Alpha joining network celebrating Mega Giveawayx Winne,0
RT @ExplainingBitc1: It will take all of the #Bitcoin miners in the world approximately 40 years to mine the last 1 BTC. Value a #bitcoin b…,neg, It will take all of the #Bitcoin miners in the world approximately 40 years to mine the last 1 BTC. Value a #bitcoin b…,It take miner world approximately year mine last BTC Value b,1
"RT @south_TOA: #AKUltra on the line!!!
#ETH #EthereumNFTs",pos," #AKUltra on the line!!!
#ETH #EthereumNFTs",,0
"RT @CryptoAgresivoo: 👽 AFIRIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️ RT +  Follow @Afirixcommunity &amp; @CryptoB…",pos," 👽 AFIIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️  +  Follow @Afirixcommunity &amp; @CryptoB…",AFIIX GIVEAWAYS We givingaway worth USDT To Enter Follow Afirixcommunity amp CryptoB,0
win me please.. @d4rk_eth @Mr_SupaTroopa @SCRTRABBIT @itstaeminkim @DirtyDieselNFT @Time_less_nft @luke_is… https://t.co/5J86hoUcSz,pos,win me please.. @d4rk_eth @Mr_SupaTroopa @SCABBIT @itstaeminkim @DirtyDieselNFT @Time_less_nft @luke_is… https://t.co/5J86hoUcSz,win please drketh MrSupaTroopa SCABBIT itstaeminkim DirtyDieselNFT Timelessnft lukeis,0
"RT @ShibInform: This is my gift to you that support me everyday $SHIB , a big thank you 🏆 1 ETH among the first 2222 Retweets and Comments!…",pos," This is my gift to you that support me everyday $SHIB , a big thank you 🏆 1 ETH among the first 2222etweets and Comments!…",This gift support everyday SHIB big thank ETH among first etweets Comments,0
"@TheDustyBC Let me just leave #BTC here, btw this game got me really excited when i tried it, the graphics are supe… https://t.co/5qQ6tcAqet",neg,"@TheDustyBC Let me just leave #BTC here, btw this game got me really excited when i tried it, the graphics are supe… https://t.co/5qQ6tcAqet",TheDustyBC Let leave btw game got really excited tried graphic supe,1
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"RT @CryptoAgresivoo: 👽 AFIRIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️ RT +  Follow @Afirixcommunity &amp; @CryptoB…",pos," 👽 AFIIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️  +  Follow @Afirixcommunity &amp; @CryptoB…",AFIIX GIVEAWAYS We givingaway worth USDT To Enter Follow Afirixcommunity amp CryptoB,0
"RT @PPAPE_IO: When I thought it couldn't be worse than $45000, there it came to $28000. When I believed $28000 was the worst already, it dr…",neg," When I thought it couldn't be worse than $45000, there it came to $28000. When I believed $28000 was the worst already, it dr…",When I thought couldnt worse came When I believed worst already dr,1
"RT @jaydee_757: #XRP / $BTC - While some r waiting for the case to be done (causing them to miss out on 40% gains bc of FEAR), Im focused o…",pos," #XP / $BTC - While some r waiting for the case to be done (causing them to miss out on 40% gains bc of FEA), Im focused o…",BTC While r waiting case done causing miss gain bc FEA Im focused,0
"RT @Terriblty: !GIVEAWAY TIME!

Win this #NFT (@LongLostNFT)

1⃣ Follow @Terriblty + @LongLostNFT 
2⃣ Like + Retweet
3⃣ Tag three friends b…",pos," !GIVEAWAY TIME!

Win this #NFT (@LongLostNFT)

1⃣ Follow @Terriblty + @LongLostNFT 
2⃣ Like +etweet
3⃣ Tag three friends b…",GIVEAWAY TIMEWin LongLostNFT Follow Terriblty LongLostNFT Like etweet Tag three friend b,0
togehter ?? The fu #cyptocurrency #btc #eth #crypto 1ijW Lrthest distance in,pos,togehter ?? The fu #cyptocurrency #btc #eth #crypto 1ijW Lrthest distance in,togehter The fu ijW Lrthest distance,0
"RT @tunaferith: ❤️FREE #NFT #Giveaway❤️

Witch Likaba 5x Lip + 5x Eye Drawings to 3 people
 
❤️FOLLOW ME
❤️Like and Retweet
❤️Drop your #ET…",pos," ❤️FEE #NFT #Giveaway❤️

Witch Likaba 5x Lip + 5x Eye Drawings to 3 people
 
❤️FOLLOW ME
❤️Like and etweet
❤️Drop your #ET…",FEE Likaba x Lip x Eye Drawings people FOLLOW MELike etweetDrop,0
"RT @FunkyWolves: 50k has our head in the clouds 🥳

More info coming tomorrow! 𝐃𝐨 𝐧𝐨𝐭 𝐬𝐥𝐞𝐞𝐩 𝐨𝐧 𝐨𝐮𝐫 𝐠𝐞𝐧𝐞𝐬𝐢𝐬 #𝐍𝐅𝐓 𝐩𝐚𝐬𝐬😴🔔

#NFTCommunity #White…",pos," 50k has our head in the clouds 🥳

More info coming tomorrow! 𝐃𝐨 𝐧𝐨𝐭 𝐬𝐥𝐞𝐞𝐩 𝐨𝐧 𝐨𝐮𝐫 𝐠𝐞𝐧𝐞𝐬𝐢𝐬 #𝐍𝐅𝐓 𝐩𝐚𝐬𝐬😴🔔

#NFTCommunity #White…",k head cloud More info coming tomorrow,0
@RockyBalberoni How high can you jump? @MayanMango? 🐸,pos,@ockyBalberoni How high can you jump? @MayanMango? 🐸,ockyBalberoni How high jump MayanMango,0
@DontTraceMeBruh @sethforprivacy by any chance do you know if there is a xmr tipping bot? I found a btc lightning o… https://t.co/dK8ghQjUv1,pos,@DontTraceMeBruh @sethforprivacy by any chance do you know if there is a xmr tipping bot? I found a btc lightning o… https://t.co/dK8ghQjUv1,DontTraceMeBruh sethforprivacy chance know xmr tipping bot I found btc lightning,0
"RT @Azee_SCA: GM 👁️ #NFTcommunity 

THE MERGE 1/1 is available at 0.15 $ETH only 3 1/1s left on primary 👑

Link : https://t.co/AIfWpQ1abT h…",pos," GM 👁️ #NFTcommunity 

THE MEGE 1/1 is available at 0.15 $ETH only 3 1/1s left on primary 👑

Link : https://t.co/AIfWpQ1abT h…",GM THE MEGE available ETH left primary Link h,0
"RT @Aladdin_Leo: 🎉 #SOLGiveaway 🎉

Prize: 
🏆1x 0.1 $SOL
🏆5x WL        

To Enter:
1⃣ Follow Me &amp; @LemurLoungeNFT
2⃣ Like, RT &amp; Tag 2 Friend…",pos," 🎉 #SOLGiveaway 🎉

Prize: 
🏆1x 0.1 $SOL
🏆5x WL        

To Enter:
1⃣ Follow Me &amp; @LemurLoungeNFT
2⃣ Like,  &amp; Tag 2 Friend…",Prize x SOLx WL To Enter Follow Me amp LemurLoungeNFT Like amp Tag Friend,0
"RT @CryptoGROWClub0: Grow Club Championship #ETH GIVEAWAY

4 Winners, 💸 $1000 Prize Pool 💸

To Enter ✅:
1⃣ Follow @CryptoGROWClub0
2⃣ Like…",pos," Grow Club Championship #ETH GIVEAWAY

4 Winners, 💸 $1000 Prize Pool 💸

To Enter ✅:
1⃣ Follow @CryptoGOWClub0
2⃣ Like…",Grow Club Championship GIVEAWAY Winners Prize Pool To Enter Follow CryptoGOWClub Like,0
"RT @MonKiddo: @SinegyMY Happy Mid-Autumn Festival 

#Ethereum #eth #blockchain #crypto #nft #fintech #digitalart #MidAutumnFestival #crypto…",pos," @SinegyMY Happy Mid-Autumn Festival 

#Ethereum #eth #blockchain #crypto #nft #fintech #digitalart #MidAutumnFestival #crypto…",SinegyMY Happy MidAutumn Festival,0
"RT @mir_art_com: Hi, #NFTCommunity ❤️❤️❤️
I took part on spaces with @Ira76516994s from 🌵 Community. 
They have a challenges every 2 weeks.…",pos," Hi, #NFTCommunity ❤️❤️❤️
I took part on spaces with @Ira76516994s from 🌵 Community. 
They have a challenges every 2 weeks.…",Hi I took part space Iras Community They challenge every week,0
@cmbarce1 just put up a 1.65 ETH bid on ‘Which Way is Up?’ 💎💎 https://t.co/LR3PW3J73s,pos,@cmbarce1 just put up a 1.65 ETH bid on ‘Which Way is Up?’ 💎💎 https://t.co/L3PW3J73s,cmbarce put ETH bid Which Way Up,0
"RT @CryptoGhostKing: Drop your 1/1 NFT 👻 

✅Jpeg/Png/Video/Gif
✅RT and Like your fav arts 😍
✅Price ETH, Tezos, SOl etc.
✅Tag max 3 frens

🚫…",pos," Drop your 1/1 NFT 👻 

✅Jpeg/Png/Video/Gif
✅ and Like your fav arts 😍
✅Price ETH, Tezos, SOl etc.
✅Tag max 3 frens

🚫…",Drop NFT JpegPngVideoGif Like fav art Price ETH Tezos SOl etcTag max frens,0
"good project, check it.. @hfbnfnffi @MianMoizzKhan @Flowerblocks @desmarianti1 @buzzlightyeeet @antonetteLB1… https://t.co/Soq05UhLvB",pos,"good project, check it.. @hfbnfnffi @MianMoizzKhan @Flowerblocks @desmarianti1 @buzzlightyeeet @antonetteLB1… https://t.co/Soq05UhLvB",good project check hfbnfnffi MianMoizzKhan Flowerblocks desmarianti buzzlightyeeet antonetteLB,0
"👀 0x3fad..bf5f ↗️ flipped ↗️ AZUKI #6304
https://t.co/q6rDFtDxU6

🏆 status: Diamond Hands
🛒 in: 3.3 ETH
💰 out: 13 E… https://t.co/iR6w014csz",pos,"👀 0x3fad..bf5f ↗️ flipped ↗️ AZUKI #6304
https://t.co/q6rDFtDxU6

🏆 status: Diamond Hands
🛒 in: 3.3 ETH
💰 out: 13 E… https://t.co/i6w014csz",xfadbff flipped AZUKI status Diamond Hands ETH E,0
"RT @nickv_crypto: Giveaway time!!!

As I made a lot of profits trading #btc and #eth I am giving away $1000 worth #ethereum!

All you have…",pos," Giveaway time!!!

As I made a lot of profits trading #btc and #eth I am giving away $1000 worth #ethereum!

All you have…",Giveaway timeAs I made lot profit trading I giving away worth,0
@pputawutanites @CathyMo91388281 never mind just try and make some eth,pos,@pputawutanites @CathyMo91388281 never mind just try and make some eth,pputawutanites CathyMo never mind try make eth,0
whitelist Official Agen @sherryp0124  @bigflag_eth  @mylonceng  @jae_hyun90  @ForwardMindz23  @Oxbeth2022… https://t.co/MiG1LlNEQ8,pos,whitelist Official Agen @sherryp0124  @bigflag_eth  @mylonceng  @jae_hyun90  @ForwardMindz23  @Oxbeth2022… https://t.co/MiG1LlNEQ8,whitelist Official Agen sherryp bigflageth mylonceng jaehyun ForwardMindz Oxbeth,0
whitelist ADMONISH @good_boy_nft @Stoop_07 @venttocorque198 @WeGotShoesters @leekitoo @aymoney12_eth… https://t.co/1z8ZqbWHcw,pos,whitelist ADMONISH @good_boy_nft @Stoop_07 @venttocorque198 @WeGotShoesters @leekitoo @aymoney12_eth… https://t.co/1z8ZqbWHcw,whitelist ADMONISH goodboynft Stoop venttocorque WeGotShoesters leekitoo aymoneyeth,0
"RT @SoulBulbs: If you recently partook in any giveaways for an allowlist spot, you can now verify if you are on the allowlist below

Simply…",pos," If you recently partook in any giveaways for an allowlist spot, you can now verify if you are on the allowlist below

Simply…",If recently partook giveaway allowlist spot verify allowlist belowSimply,0
The moment we've all been waiting for..  @goblintown artist's son launched his surprise mint tonight for… https://t.co/hjw78sGoMH,pos,The moment we've all been waiting for..  @goblintown artist's son launched his surprise mint tonight for… https://t.co/hjw78sGoMH,The moment weve waiting goblintown artist son launched surprise mint tonight,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"RT @blankstudioart: ★ [DAILY BLANK TOKEN GIVEAWAY #5] ★

Core Pillars: 2/4

Xpression is a two-sided interaction; between the person expres…",pos," ★ [DAILY BLANK TOKEN GIVEAWAY #5] ★

Core Pillars: 2/4

Xpression is a two-sided interaction; between the person expres…",DAILY BLANK TOKEN GIVEAWAY Core Pillars Xpression twosided interaction person expres,0
"RT @Paris_Z_art: New piece from the Miami collection
Magic City Daze #29 1/1 0.1 ETH Brickell
https://t.co/5WpDqazBr6
#NFT #NFTs #NFTCommun…",pos," New piece from the Miami collection
Magic City Daze #29 1/1 0.1 ETH Brickell
https://t.co/5WpDqazBr6
#NFT #NFTs #NFTCommun…",New piece Miami collectionMagic City Daze ETH,0
"RT @promo2xl: $10 || 0.007 #eth || 2 hours 

- RT &amp; Follow me (🔔)

sponsor : #promo2xl",pos," $10 || 0.007 #eth || 2 hours 

-  &amp; Follow me (🔔)

sponsor : #promo2xl",hour amp Follow sponsor,0
"RT @Core_Minig: We are creating a new world: a new finance, a new currency, a new partnership, a new wealth train. We are the witness of th…",pos," We are creating a new world: a new finance, a new currency, a new partnership, a new wealth train. We are the witness of th…",We creating new world new finance new currency new partnership new wealth train We witness th,0
"RT @xincos321: Looooook nice
@KaijuLegendsNFT #nftcollectors #NFTDay #eth #nft #NFTartists #buy #community #pixel #cdc #Cryptocom https://t…",pos," Looooook nice
@KaijuLegendsNFT #nftcollectors #NFTDay #eth #nft #NFTartists #buy #community #pixel #cdc #Cryptocom https://t…",Looooook niceKaijuLegendsNFT,0
"RT @Amyameliamy: @stoemanangels Sugar Fiend
0.09 eth on opensea https://t.co/xZgOcwWJe5",pos," @stoemanangels Sugar Fiend
0.09 eth on opensea https://t.co/xZgOcwWJe5",stoemanangels Sugar Fiend eth opensea,0
"@MEXC_Fans @MEXC_Global $MX
$MATIC
$BTC
$ETH
$SHIB
$AVAX
$LINK
$TRX
$ATOM
$USDC
@sarfealam87 @supirimalla @senanursoylu23 @Mustafassoyluu",pos,"@MEXC_Fans @MEXC_Global $MX
$MATIC
$BTC
$ETH
$SHIB
$AVAX
$LINK
$TX
$ATOM
$USDC
@sarfealam87 @supirimalla @senanursoylu23 @Mustafassoyluu",MEXCFans MEXCGlobal MXMATICBTCETHSHIBAVAXLINKTXATOMUSDCsarfealam supirimalla senanursoylu Mustafassoyluu,0
@McGorgeous_eth @KeyboardMonkey3 @gainzy222 Damn that’s a bad beat,neg,@McGorgeous_eth @KeyboardMonkey3 @gainzy222 Damn that’s a bad beat,McGorgeouseth KeyboardMonkey gainzy Damn thats bad beat,1
